id,site_name,existing_device_client,capacity,latitude,longitude,feasibility_client,feasibility_mbps,comment,booked_by,expiry_date,interface,city,division,district,location,address,created_at
4,GP1602,AIRTEL,1000,24.180421,90.426858,"Amber IT",15,"feasibility received for work order",rabeya.akter,"2018-03-26 12:20:45",ge-0/2/0,,,,,,"2018-03-20 12:26:09"
5,GPHMSI,GP,1000,24.193692,90.453331,"Amber IT",40,"Clients requirement",rabeya.akter,"2018-03-31 13:50:21",ge-0/1/2,,,,,,"2018-03-20 13:51:38"
6,GPSRP77,ROBI,1000,24.191214,90.434691,"Amber IT",10,"client's requirment",rabeya.akter,"2018-03-31 13:50:23",ge-0/2/3,,,,,,"2018-03-20 13:55:53"
7,GPMNA8,GP,1000,24.212111,90.438611,"Amber IT",20,"client's requirement",rabeya.akter,"2018-03-31 13:55:56",ge-0/1/3,,,,,,"2018-03-20 14:02:52"
8,MGSTR01,ROBI,1000,23.97311132,90.03751429,test,200,test,ahnaf.muttaki,"2018-03-24 01:00:01",ge-0/1/3,Saturia,Dhaka,Manikganj,Saturia,,"2018-03-20 14:09:22"
9,MGSTR01,ROBI,1000,23.97311132,90.03751429,test,300,test,ahnaf.muttaki,"2018-03-23 15:10:26",ge-0/1/3,Saturia,Dhaka,Manikganj,Saturia,"Saturia-Baliati Road","2018-03-20 14:13:03"
10,DHBAR6,GP,1000,23.803306,90.433806,"Next online",1,"Clients requirement",rabeya.akter,"2018-03-28 11:00:57",ge-0/0/6,DMP,Dhaka,Dhaka,Dhaka,"1421, Solmait, Badda, Dhaka","2018-03-21 11:04:32"
11,BGMNG02A01ES01,SCL,1000,22.5313,89.59,"Next online",5,"client's requiement",rabeya.akter,"2018-03-28 11:55:26",Port28,Mongla,Khulna,Bagerhat,Mongla,"Khulna - Mongla Highway","2018-03-21 11:10:15"
12,BSSDR04,ROBI,1000,22.7143,90.3775,"Next online",2,"client's requiement",rabeya.akter,"2018-03-28 11:10:22",ge-0/2/2,BarisalSadar(kotwali),Barisal,Barisal,Barisal,Amanatganj,"2018-03-21 11:13:51"
13,DHNWG04A01ES01,SCL,1000,23.65779106,90.14567796,"Broad Band",4,"clients requirement",rabeya.akter,"2018-03-28 11:30:59",Port16,Nawabganj,Dhaka,Dhaka,Nawabganj,R820,"2018-03-21 11:32:45"
14,HGSJBP01JR01,ROBI,1000,24.25302,91.3803,"AMBERIT LTD",5,"Clients requiement",rabeya.akter,"2018-03-28 11:45:06",ge-0/1/2,HabiganjSadar,Sylhet,Habiganj,"Fotehpur, Madobpur Dorga Gate, Hobigonj","Fotehpur, Madobpur Dorga Gate, Hobigonj","2018-03-21 11:48:39"
15,KSBJT02,ROBI,1000,24.2113,90.9456,"BKB Network",100,"Clients requirement",rabeya.akter,"2018-03-31 11:50:33",ge-0/2/3,Bajitpur,Dhaka,Kishoreganj,Bajitpur,Bajitpur_Sadar,"2018-03-21 11:53:23"
16,BOSBG01,ROBI,1000,25.0084,89.3158,CCL,20,"Client's requirement",rabeya.akter,"2018-03-28 12:50:15",ge-0/1/3,Shibganj,Rajshahi,Bogra,Shibganj,Shibganj,"2018-03-21 12:50:55"
17,BSSDR14,ROBI,1000,22.7178,90.3671,"Computer Complex",49,Requirement,partha.sarkar,"2018-03-31 16:25:26",ge-0/2/3,BarisalSadar(kotwali),Barisal,Barisal,Barisal,North_Kaunia,"2018-03-21 16:27:40"
18,DHGULWA01ES01,SCL,1000,23.804667,90.408444,CCL,5,CR,rabeya.akter,"2018-03-31 16:35:22",Port28,DMP,Dhaka,Dhaka,Dhaka,"Road No 68A","2018-03-21 16:38:39"
19,NGSDR48,ROBI,1000,23.609,90.5036,CCL,15,cr,rabeya.akter,"2018-03-31 16:40:17",ge-0/2/2,NarayanganjSadar,Dhaka,Narayanganj,Narayanganj,"Victoria Hospital","2018-03-21 16:41:37"
20,FPSPR01,ROBI,1000,23.4574,90.0214,"Computer Complex",49,req,partha.sarkar,"2018-03-31 16:45:11",ge-0/2/3,Sadarpur,Dhaka,Faridpur,Sadarpur,Sadarpur,"2018-03-21 16:48:25"
21,CMSDR97,ROBI,1000,23.46584,91.17436,"Bangladesh Export Import Company Ltd",3,CR,rabeya.akter,"2018-03-31 16:50:14",ge-0/1/3,ComillaSadarDakshin,Chittagong,Comilla,Comilla,Jhawtala_1,"2018-03-21 16:54:01"
22,CDSDR01-AGG,SCL,1000,23.6439,88.8469,"Computer Complex",49,req,partha.sarkar,"2018-03-31 22:50:03",ge-1/1/3,ChuadangaSadar,Khulna,Chuadanga,Chuadanga,Chuadanga,"2018-03-21 16:54:02"
23,BSSDRC01JR01,SCL,1000,22.701384,90.363254,"Computer Complex",49,req,partha.sarkar,"2018-03-31 21:55:39",ge-0/2/9,BarisalSadar(kotwali),Barisal,Barisal,"G.C. Das Road","Mr. Mahabub Islam Romon, Razia Mansion, 92 Police Road, Barishal","2018-03-21 17:00:35"
24,DHK_X2243,Banglalink,1000,23.70467,90.51113,Aamra,25,CR,rabeya.akter,"2018-03-31 17:40:33",ge-1/1/3,NarayanganjSadar,Dhaka,Narayanganj,"Hazi Abdul Aziz Sardar Road","Vill: Simrail, P.O.: Sanarpar, P.S.: Shiddhirganj, Narayanganj","2018-03-21 17:44:24"
25,LMSDR01A01ES01,SCL,1000,25.917462,89.444667,"Asia Intel",30,CR,rabeya.akter,"2018-03-31 17:55:44",Port6,LalmonirhatSadar,Rangpur,Lalmonirhat,Lalmonirhat,"Uttara/Mogolhat Roar","2018-03-21 17:57:12"
26,DHDHR10,ROBI,1000,23.6399,90.1033,"Asia Intel",30,CR,rabeya.akter,"2018-03-31 18:00:43",ge-0/2/3,Dohar,Dhaka,Dhaka,Kacharighat,Kacharighat,"2018-03-21 18:02:17"
27,GPSDR44,ROBI,1000,24.1253,90.3873,Agni,5,CR,rabeya.akter,"2018-03-31 11:10:08",ge-0/2/2,GazipurSadar,Dhaka,Gazipur,"Hotapara Monipur","Hotapara Monipur","2018-03-22 11:15:17"
28,MG1933,AIRTEL,1000,23.890511,90.033044,Agni,10,cr,rabeya.akter,"2018-03-31 11:20:22",ge-0/1/3,ManikganjSadar,Dhaka,Manikganj,"Dhaka - Aricha Highway","Dhaka - Aricha Highway","2018-03-22 11:22:21"
29,KHDLP01,ROBI,1000,22.8716,89.5246,Agni,4,CR,rabeya.akter,"2018-03-31 11:20:47",ge-0/1/0,Daulatpur,Khulna,Khulna,Khulna,Doulatpur,"2018-03-22 11:24:45"
30,MGSDR08,ROBI,1000,23.841759,89.980172,Agni,4,CR,rabeya.akter,"2018-03-31 11:25:46",ge-0/2/2,ManikganjSadar,Dhaka,Manikganj,Z5064,Z5064,"2018-03-22 11:26:35"
