Hostname,Resource Name,IP Address,Alias,Resource,Average,Minimum,Maximum,95th Percentile
DHK_X0699,ge-1/2/0,10.4.25.132,,ge-1/2/0,2,2,2,2
IIG-UTTARA-CORE-2-RTR.summitiig.net,TenGigE0/1/1/0,172.16.201.236,@@ COGENT-UK2 @@,TenGigE0/1/1/0,2,2,2,2
CXSDR34,ge-0/1/2,10.45.100.128,,ge-0/1/2,2,2,2,2
BOSDRC01JR01,ge-0/2/6,10.25.0.129,To-RS4404,ge-0/2/6,2,2,2,2
LXRGN11,xe-0/3/0,10.119.112.131,,xe-0/3/0,2,2,2,2
GPSDR15,ge-0/0/1,10.55.105.138,,ge-0/0/1,2,2,2,2
GPSDR49,ge-0/2/3,10.55.103.134,,ge-0/2/3,2,2,2,2
JHSDRP01JR01,GigabitEthernet0/2/17,10.67.0.128,TO-Jhenidha_PGCB_Tj1400_Monitoring,GigabitEthernet0/2/17,2,2,2,2
IIG-UTTARA-CORE-2-RTR.summitiig.net,TenGigE0/3/1/0,172.16.201.236,@@ GOOGLE-CHN-1-TATA @@,TenGigE0/3/1/0,2,2,2,2
TNSDR01,GigabitEthernet0/2/8,10.161.100.132,"HUAWEI, GigabitEthernet0/2/8 Interface",GigabitEthernet0/2/8,2,2,2,2
JPSDR28,GigabitEthernet0/2/27,10.147.101.128,,GigabitEthernet0/2/27,2,2,2,2
ITSwKSB3-0,gi37,172.16.116.22,T6P3,gi37,2,2,2,2
172.16.201.243,Te5/0/2,172.16.201.243,,Te5/0/2,2,2,2,2
NE-Switch01,fa24,172.16.116.4,,fa24,2,2,2,2
JPSDR28,GigabitEthernet0/2/11,10.147.101.128,,GigabitEthernet0/2/11,2,2,2,2
CMMDN04,ge-0/1/3,10.43.106.129,,ge-0/1/3,2,2,2,2
MBSDR09,GigabitEthernet0/2/2,10.97.102.129,"HUAWEI, GigabitEthernet0/2/2 Interface",GigabitEthernet0/2/2,2,2,2,2
NOCTK02,xe-0/3/0,10.119.112.130,,xe-0/3/0,2,2,2,2
NE-Switch01,fa7,172.16.116.4,,fa7,2,2,2,2
JPSDR28,GigabitEthernet0/2/8,10.147.101.128,T0-MYM-JAMALPUR-IP-tunnel_ETH-1-6-6,GigabitEthernet0/2/8,2,2,2,2
BOSDRC01JR01,ge-0/2/5,10.25.0.129,To-Bog_POP_MUX_Eth_GE-1-11-2,ge-0/2/5,2,2,2,2
JPSDR28,Eth-Trunk0,10.147.101.128,,Eth-Trunk0,2,2,2,2
IIG-UTTARA-CORE-2-RTR.summitiig.net,TenGigE0/3/1/1,172.16.201.236,@@ GOOGLE-CHN-2-TATA @@,TenGigE0/3/1/1,2,2,2,2
BDCOM_UTTARA_SWITCH_2,TGigaEthernet1/6,192.168.110.61,@@ uttara-to-DR-AGG-Te0/2/1/0-siig_250716_16_ic_ODF_2_T5_P10 @,TGigaEthernet1/6,2,2,2,2
JPSDR28,GigabitEthernet0/2/9,10.147.101.128,,GigabitEthernet0/2/9,2,2,2,2
CDDMH01A01ES01,Port3,172.30.41.10,Circle-DHK-CDDMH01,Port3,2,2,2,2
