IP Address,Host Name
11.34.0.111,CTG0251_Halishohor
11.2.2.107,Danya Nayapar_DHJTB21
11.2.5.26,MirpurDOHS_DHPLB30
11.2.5.42,DHRMN35_RAZZAK_P_IBS
10.1.34.134,DHBDTE
10.133.100.128,IP05-BL-AGG
10.95.101.134,DHK_T6874
10.1.152.131,DHBDD76
10.1.30.134,DHTEJ34
10.1.100.141,DHSVR12_ACX2200
10.101.100.129,MNSDR02-PAGG
10.4.3.133,MOB_01_127
10.1.98.129,DHDHNN
10.105.101.131,NAPTN01
10.15.102.132,BRSDR05
10.121.101.128,PBSDR03
10.91.101.133,MR4375-ACX2200
10.29.100.130,CP2904_MX
10.1.64.128,DHZNZF
10.33.109.135,CTG_R1775-BL-Site
10.45.0.128,Ramu_ACX1100_CB3809
10.1.30.132,DHAGG4
10.4.16.131,DHK_X0357
10.1.169.137,DHK_X0103
10.33.132.134,CGKTL47
10.2.2.190,DHK4212
10.1.172.132,DHMJH42
10.63.101.135,JES0003_TT
10.101.101.130,MNSDR01
10.1.9.128,DHKAK9
10.125.102.130,PTKLP05
10.51.100.128,LEMUA-AGG
10.51.101.134,FNCGL04
10.51.101.130,FN3207
10.51.102.128,FNSDR47
10.1.151.132,DHK_B5082_BL-Site
10.1.100.143,DHNWG04-AGG
10.51.101.133,FNSDR19
10.161.102.132,TNSKP06
10.33.110.130,CTG_B1984
10.73.105.128,KHSDR03
10.51.105.129,FNSDR14
10.1.160.150,DHK_M2341
10.4.3.129,DHK_X2257
10.43.100.150,Alekharchar-HO_MX
10.43.104.130,BMSDR02
10.45.100.135,To-CXTKN08_MX-104
10.51.101.128,FNSDR16
10.1.17.134,DHSKBI
10.1.171.134,MNSRK02
10.1.91.133,DHGULK
10.153.106.128,SYSDR44
10.161.106.133,TNSDR01
10.43.0.132,CMCDGB01JR01
10.53.1.128,RAJ_X9019
10.55.0.130,GPMWNPO1JR02
10.161.153.128,GPMOBS
10.15.102.133,PTMZG03
172.30.61.2,JPSDR02A01ES01
10.9.101.132,BGFKR12
10.25.103.128,BOSDR63
10.15.100.129,BSGND06
10.15.103.128,BSSDR16-ATN910B-F
10.15.106.129,BSWZP18
10.33.129.131,CGANW42
10.33.101.137,CGPTG01
10.139.100.134,CGRNG57
10.33.126.131,CGBSK13
10.33.170.131,CXRMU39
10.45.100.132,CXTKN53
10.1.162.131,DHDHM36
10.4.46.131,DHNWB02HTR01_DHK_X0107
10.1.161.133,DHSVRC9
10.47.100.132,DPKHR09
10.47.101.129,DPSDR34
10.47.102.128,DPSDR33
10.49.0.129,FPSDRB01JR02
10.57.200.128,GOP0014-HO
10.55.0.128,GPMWNP01JR01
10.59.102.129,HGBBL16
10.65.100.128,JKRZP02
10.63.0.128,JESDRP01JR01
10.83.101.128,KGSDR10
10.81.101.132,KSBRB17
10.81.0.128,KSSDRP01HR01
10.51.100.130,FNSDR47
10.97.101.130,MBBRL22
10.97.101.129,MBBRL23
10.91.100.130,MDRJR13
10.91.100.128,MDSDR01
10.91.101.129,MDSDR04
10.91.102.128,MDSHB01
10.101.103.128,MNSDR34
10.101.105.128,MNSDR33
10.103.102.128,MYGFG18
10.103.103.133,MYSDR64
10.109.109.130,NGBND30
10.109.100.133,NGSDRJ1
10.109.112.129,NGSDR73HTR01_NGSDRD3
10.109.112.128,NGSDR78HTR01_NGSDR01
10.109.110.130,DHDEM29HTR01_NGSDR25
10.109.109.128,NGSDR93HTR01_NGSDR37
10.111.102.132,NSSDR52
10.113.101.131,NTBRG01
10.113.101.132,NTSDR28
10.65.1.131,PPBND01A01HTR01
10.65.101.129,PPNSB16
10.125.0.129,PTSDRB02HTR02
10.31.101.133,RSGDG16
10.149.101.133,SGULP19
10.153.115.128,SYSDR95
10.153.112.130,SYSDRC2
10.153.114.128,SYSDRD4
10.151.100.132,SNDKS09
10.153.108.128,SNCTK25
10.145.101.129,SPBDG01
10.145.100.128,SPSDR01
10.153.105.128,SYFNC15
10.153.113.129,SYSDR75
10.153.107.128,SYSDR11
10.161.111.129,TNMZP46
10.161.110.128,TNGTL26
172.30.125.2,PTKLP03A01ES01
172.30.145.2,SPSDR01A01ES01
172.30.147.6,SRNLT01A01ES01
172.30.153.3,Client_LINK3_SYL_SW1
172.30.27.2,BMASJP01ES01
172.30.43.10,CMSDRC01ES01
172.30.45.14,CXCKRB01ES01
172.30.59.6,HGSDR01A01ES01
172.30.91.2,MDSDR01A01ES01
